Doctor_ID,Hospital_ID,Doctor_Name,Doctor_Specialty,Medical_License_Number,NPI_Number,Employment_Status
DOC-00309,HOSP-00096,Thomas Wiley,Psychiatry,Unknown,9871271906,On Leave
DOC-00310,HOSP-00051,Phillip Taylor,Orthopedics,Lic-Invalid,0000000000,Inactive
DOC-00311,HOSP-00080,Elizabeth Adams,Neurology,Unknown,0000012345,On Leave
DOC-00312,HOSP-00034,Jason Nelson,Pediatric,Lic-249413,0000012345,Active
DOC-00313,HOSP-00033,Derek Mayo,Cardiology,Lic-312292,0000012345,Inactive
DOC-00314,HOSP-00035,Elizabeth Bradford,Radiology,Lic-314438,0000012345,active
DOC-00315,HOSP-00046,Veronica Rodriguez,General Medicine,Lic-Invalid,2410658876,On Leave
DOC-00316,HOSP-00048,Amanda Cook,Neurology,Unknown,0000000000,active
DOC-00317,HOSP-00027,Ryan Reyes,Neurology,Lic-Invalid,6033571413,Unknown
DOC-00318,HOSP-00092,James Fields,Pediatrics,Lic-426601,0000012345,active
DOC-00319,HOSP-00054,David Montgomery,Neurology,Lic-Invalid,0000000000,active
DOC-00320,HOSP-00088,Katherine Farley,General Medicine,Lic-Invalid,0000012345,Unknown
DOC-00321,HOSP-00060,Courtney Petty,Oncology,Lic-596390,0000012345,Inactive
DOC-00322,HOSP-00040,Miguel Davis,Pediatric,Lic-750377,7532258120,active
DOC-00323,HOSP-00079,Mackenzie Jimenez,Pediatrics,Unknown,0000012345,Inactive
DOC-00324,HOSP-00068,Peter Webb,Orthopedics,Lic-Invalid,8047306167,Unknown
DOC-00325,HOSP-00055,April Wilkerson,Dermatology,Unknown,9291845012,Unknown
DOC-00326,HOSP-00028,Stephen Haynes,Oncology,Unknown,0000012345,Active
DOC-00327,HOSP-00051,Douglas Lewis,Oncology,Unknown,0000000000,Active
DOC-00328,HOSP-00017,Miss Eileen Mccall,Radiology,Lic-990314,0000012345,Unknown
DOC-00329,HOSP-00018,Michael Taylor,General Medicine,Lic-Invalid,0000000000,On Leave
DOC-00330,HOSP-00025,Andrew Mendez,Pediatrics,Unknown,0000012345,Active
DOC-00331,HOSP-00042,Kathy Jefferson,General Medicine,Unknown,0000012345,On Leave
DOC-00332,HOSP-00099,Katelyn Jones,Psychiatry,Unknown,0000012345,active
DOC-00333,HOSP-00045,Katrina Berry,General Medicine,Lic-Invalid,0000000000,Unknown
DOC-00334,HOSP-00099,Holly Vazquez,General Medicine,Lic-590738,0000000000,Unknown
DOC-00335,HOSP-00033,Austin Terry,Pediatrics,Lic-Invalid,0000012345,On Leave
DOC-00336,HOSP-00029,Caitlyn Thompson,General medicine,Lic-407279,0000012345,Inactive
DOC-00337,HOSP-00052,Jeffrey Simpson,Pediatrics,Lic-881684,0000000000,Unknown
DOC-00338,HOSP-00018,Sharon Prince,Pediatrics,Lic-350514,0000000000,Active
DOC-00339,HOSP-00014,Russell Lynch Dvm,General Medicine,Unknown,0000000000,Unknown
DOC-00340,HOSP-00009,Rebecca Smith,Psychiatry,Unknown,0000000000,Unknown
DOC-00341,HOSP-00022,David Griffin,Pediatric,Lic-591663,0000012345,Active
DOC-00342,HOSP-00088,Samuel Scott,Dermatology,Lic-Invalid,0000012345,Inactive
DOC-00343,HOSP-00094,Mr. Juan Richardson,ENT,Unknown,0000012345,On Leave
DOC-00344,HOSP-00018,Jeffery Gonzalez Iii,Cardiology,Lic-Invalid,0000012345,Unknown
DOC-00345,HOSP-00094,Brianna Acosta,General Medicine,Unknown,2958304559,Active
DOC-00346,HOSP-00064,Jeremy Melendez,Psychiatry,Lic-379505,0000000000,active
DOC-00347,HOSP-00044,Leon Jensen,Oncology,Lic-Invalid,0000000000,Active
DOC-00348,HOSP-00090,Lori Edwards,Dermatology,Lic-336534,6287784525,Active
DOC-00349,HOSP-00008,John Hinton,Pediatrics,Lic-Invalid,0000000000,On Leave
DOC-00350,HOSP-00062,Jody Rogers,Psychiatry,Unknown,1534711377,Active
DOC-00351,HOSP-00066,Zachary Wilson,Dermatology,Lic-536123,1027267402,Inactive
DOC-00352,HOSP-00024,Crystal Jones,Pediatric,Lic-336012,0000000000,Unknown
DOC-00353,HOSP-00088,Allen Lopez,Oncology,Lic-881614,0000000000,active
DOC-00354,HOSP-00048,Sandra Richards,cardiology,Unknown,0000012345,Unknown
DOC-00355,HOSP-00019,Erica Anderson,Pediatrics,Unknown,0000000000,Inactive
DOC-00356,HOSP-00025,Sherry Garcia,Dermatology,Lic-563308,0000000000,Inactive
DOC-00357,HOSP-00008,Lori Glover,General Medicine,Lic-742794,0000000000,Inactive
DOC-00358,HOSP-00091,Meagan Elliott,Orthopedics,Unknown,0000000000,Unknown
DOC-00359,HOSP-00099,Katelyn Mills,Dermatology,Unknown,0000000000,On Leave
DOC-00360,HOSP-00049,Eric Martin,Psychiatry,Unknown,1724071682,active
DOC-00361,HOSP-00075,Travis Maldonado,Neurology,Lic-440071,3181997167,Inactive
DOC-00362,HOSP-00009,Leslie Ewing,cardiology,Unknown,3292191282,On Leave
DOC-00363,HOSP-00031,Alexandra Lopez,Neurology,Lic-821714,0000012345,active
DOC-00364,HOSP-00055,Megan Smith,Orthopedics,Unknown,0000012345,active
DOC-00365,HOSP-00034,Nicholas Rosales,Oncology,Lic-282731,0000000000,Inactive
DOC-00366,HOSP-00043,Ashley Buchanan,Oncology,Lic-Invalid,8382552426,Inactive
DOC-00367,HOSP-00018,Amy Rodriguez,Cardiology,Lic-Invalid,2693143472,Active
DOC-00368,HOSP-00013,Jodi Rodriguez,Dermatology,Lic-Invalid,0000000000,active
DOC-00369,HOSP-00022,Christopher Schmidt,Orthopedics,Lic-Invalid,7363454664,Active
DOC-00370,HOSP-00018,Benjamin Lewis,cardiology,Unknown,0000012345,Inactive
DOC-00371,HOSP-00032,Christine Cisneros,General Medicine,Lic-Invalid,0000000000,Unknown
DOC-00372,HOSP-00048,Danielle Garrett,General Medicine,Unknown,0000000000,On Leave
DOC-00373,HOSP-00062,Robert Carroll,General Medicine,Lic-247498,0000012345,Unknown
DOC-00374,HOSP-00004,Cassidy Hart,cardiology,Lic-Invalid,6648667800,Inactive
DOC-00375,HOSP-00027,Thomas Stone,Psychiatry,Lic-Invalid,0000000000,On Leave
DOC-00376,HOSP-00050,John Cruz,Dermatology,Unknown,3222150434,Inactive
DOC-00377,HOSP-00082,Elizabeth Hernandez,Oncology,Lic-319371,0000012345,Unknown
DOC-00378,HOSP-00098,Gregory Rodriguez,Oncology,Unknown,7350759196,On Leave
DOC-00379,HOSP-00071,Carol Hall,Oncology,Lic-267418,0000012345,Active
DOC-00380,HOSP-00036,Anthony Hardy,Pediatric,Lic-855412,0000012345,Inactive
DOC-00381,HOSP-00072,Donald White,ENT,Lic-126462,7640730152,On Leave
DOC-00382,HOSP-00093,Barry Nelson,Radiology,Lic-410167,0000000000,Inactive
DOC-00383,HOSP-00020,Kimberly Williams,Pediatric,Unknown,0000012345,Unknown
DOC-00384,HOSP-00020,Albert Suarez,General medicine,Lic-Invalid,0000000000,Unknown
DOC-00385,HOSP-00087,Jeffrey Sanchez,Orthopedics,Lic-794280,0000000000,On Leave
DOC-00386,HOSP-00008,Kevin Johnson,ENT,Lic-Invalid,0000012345,active
DOC-00387,HOSP-00099,Heidi Garcia,Orthopedics,Lic-589773,0000000000,Unknown
DOC-00388,HOSP-00001,Daniel Gallagher,Dermatology,Lic-Invalid,8165441014,Unknown
DOC-00389,HOSP-00013,Daisy Mercado,Radiology,Lic-344697,0000012345,Active
DOC-00390,HOSP-00030,Teresa Miller,General medicine,Lic-Invalid,9253906216,active
DOC-00391,HOSP-00015,Morgan Wright,General Medicine,Lic-869978,0000012345,On Leave
DOC-00392,HOSP-00034,Bryan Baker,Psychiatry,Lic-888376,7628098398,Unknown
DOC-00393,HOSP-00094,Jeffrey Horton,ENT,Unknown,8835768649,Inactive
DOC-00394,HOSP-00051,Robert Castillo,Oncology,Lic-Invalid,0000000000,Unknown
DOC-00395,HOSP-00042,Vanessa Bates,General medicine,Lic-Invalid,0000012345,Inactive
DOC-00396,HOSP-00099,Holly Strong,Oncology,Lic-416762,2217530333,Active
DOC-00397,HOSP-00032,Jonathan Green,Cardiology,Unknown,0000012345,Active
DOC-00398,HOSP-00059,Nathan Wheeler,Neurology,Lic-Invalid,0000000000,On Leave
DOC-00399,HOSP-00046,Deborah Reyes,General Medicine,Lic-332884,0000012345,Unknown
DOC-00400,HOSP-00075,Mrs. Donna Patton,Orthopedics,Lic-Invalid,0000000000,Unknown
DOC-00401,HOSP-00017,Diana Mccarthy,Orthopedics,Lic-447283,0000000000,On Leave
DOC-00402,HOSP-00013,Theresa Davis,General medicine,Unknown,8741902099,active
DOC-00403,HOSP-00063,Oscar Patel,Orthopedics,Lic-469218,0000012345,On Leave
DOC-00404,HOSP-00088,Christian Jordan,General medicine,Unknown,0000012345,Unknown
DOC-00405,HOSP-00044,Samuel Mitchell Phd,Neurology,Unknown,0000012345,active
DOC-00406,HOSP-00059,Penny Farrell,Neurology,Lic-Invalid,0000000000,Inactive
DOC-00407,HOSP-00049,Lisa Adams,Dermatology,Unknown,0000012345,active
DOC-00408,HOSP-00044,Kristin Donaldson,Oncology,Unknown,1702696253,Active
DOC-00409,HOSP-00042,Susan English,Cardiology,Lic-202443,0000012345,Active
DOC-00410,HOSP-00083,Yvonne Ortiz,Orthopedics,Lic-Invalid,0000012345,Unknown
DOC-00411,HOSP-00037,Laura Mooney,Psychiatry,Lic-Invalid,0000012345,Unknown
DOC-00412,HOSP-00089,Lynn Roberts,Neurology,Unknown,0000012345,Unknown
DOC-00413,HOSP-00018,Dominique Harmon,Psychiatry,Lic-Invalid,0000012345,active
DOC-00414,HOSP-00018,Mr. Kevin Evans,Cardiology,Unknown,4350434226,On Leave
DOC-00415,HOSP-00055,Ashley Evans,Pediatrics,Unknown,0000012345,On Leave
DOC-00416,HOSP-00039,Michelle Ingram,Dermatology,Unknown,0000000000,Inactive
DOC-00417,HOSP-00089,Kyle Ramos,Dermatology,Unknown,0000012345,Active
DOC-00418,HOSP-00083,Natalie Thompson,Pediatrics,Unknown,0000012345,Active
DOC-00419,HOSP-00013,Alisha Aguirre,Orthopedics,Lic-Invalid,0000000000,Active
DOC-00420,HOSP-00077,Catherine Brock,Cardiology,Lic-Invalid,7014263872,Unknown
DOC-00421,HOSP-00007,Troy Moreno,Pediatric,Lic-278827,0000012345,On Leave
DOC-00422,HOSP-00043,Edward Howard,Pediatric,Lic-994062,0000000000,On Leave
DOC-00423,HOSP-00032,Victoria Kelley,Orthopedics,Lic-900709,9319351470,On Leave
DOC-00424,HOSP-00012,Derrick Orr,General medicine,Unknown,0000012345,Unknown
DOC-00425,HOSP-00049,Michael Young,cardiology,Lic-Invalid,5184691867,Active
DOC-00426,HOSP-00054,Karen Brown,Neurology,Unknown,0000000000,Unknown
DOC-00427,HOSP-00092,Jeffrey English,General medicine,Lic-170674,5771382240,Unknown
DOC-00428,HOSP-00045,Micheal Daniels,Pediatrics,Unknown,0000000000,Unknown
DOC-00429,HOSP-00049,Andrea Villanueva,Orthopedics,Lic-484115,0000012345,Inactive
DOC-00430,HOSP-00009,Dr. Heather Boyd,Radiology,Lic-Invalid,0000012345,Inactive
DOC-00431,HOSP-00082,Logan Hall,Orthopedics,Lic-878505,0000000000,Unknown
DOC-00432,HOSP-00055,Jonathan Robinson,Cardiology,Lic-695589,0000012345,Inactive
DOC-00433,HOSP-00038,Paul Weber,Psychiatry,Lic-Invalid,0000000000,Active
DOC-00434,HOSP-00017,Christopher Callahan,Psychiatry,Lic-338156,4836507484,active
DOC-00435,HOSP-00069,Michelle Cohen,Neurology,Lic-Invalid,8647299694,Inactive
DOC-00436,HOSP-00081,Edward Watson,Oncology,Unknown,0000000000,Unknown
DOC-00437,HOSP-00026,Elizabeth Anderson,Radiology,Lic-820214,9520203355,On Leave
DOC-00438,HOSP-00047,James Mcfarland,Neurology,Lic-376102,0000012345,active
DOC-00439,HOSP-00066,Melissa Lewis,ENT,Unknown,3467379670,Inactive
DOC-00440,HOSP-00097,Amy Sheppard,Neurology,Lic-Invalid,0000012345,Inactive
DOC-00441,HOSP-00074,Richard Morris Dds,Pediatrics,Lic-Invalid,0000000000,Inactive
DOC-00442,HOSP-00054,Claudia Mitchell,Orthopedics,Lic-740975,5945017771,Unknown
DOC-00443,HOSP-00027,Sarah Vega,ENT,Lic-Invalid,0000000000,Inactive
DOC-00444,HOSP-00042,Todd Richardson,Psychiatry,Lic-695151,0000000000,On Leave
DOC-00445,HOSP-00085,David Valdez,Cardiology,Lic-498145,0000012345,Inactive
DOC-00446,HOSP-00091,Matthew Guzman,Cardiology,Lic-816171,3198549173,Inactive
DOC-00447,HOSP-00030,Lydia Daniels,Orthopedics,Lic-692613,0000000000,Inactive
DOC-00448,HOSP-00005,Kyle Bass,General Medicine,Lic-887198,0000000000,active
DOC-00449,HOSP-00047,Samantha Kennedy,Radiology,Lic-609479,0000012345,Active
DOC-00450,HOSP-00089,Rhonda Mccarthy,Pediatrics,Lic-Invalid,0000012345,On Leave
DOC-00451,HOSP-00030,Bonnie Gilbert,Neurology,Lic-715165,0000000000,Inactive
DOC-00452,HOSP-00084,Zachary Velez,Cardiology,Unknown,0000012345,Inactive
DOC-00453,HOSP-00057,Miguel Golden,General Medicine,Unknown,8410432599,Inactive
DOC-00454,HOSP-00090,Andrew Rogers,ENT,Lic-Invalid,8229013588,On Leave
DOC-00455,HOSP-00006,Rachel Hamilton,Psychiatry,Unknown,0000000000,Inactive
DOC-00456,HOSP-00074,April Gonzalez,Pediatrics,Lic-Invalid,4440972091,active
DOC-00457,HOSP-00050,William Bailey,Oncology,Lic-934479,1288667539,active
DOC-00458,HOSP-00046,Stephen Daniels,Orthopedics,Unknown,2088272883,Active
DOC-00459,HOSP-00068,Scott Williams,General medicine,Lic-Invalid,2027654480,Active
DOC-00460,HOSP-00077,Brian Smith,Cardiology,Lic-882755,3101553346,Unknown
DOC-00461,HOSP-00035,Jason Coffey,Pediatric,Unknown,0000000000,Unknown
DOC-00462,HOSP-00067,Benjamin Goodwin,General Medicine,Lic-Invalid,0000012345,On Leave
DOC-00463,HOSP-00046,Sean Collins,General medicine,Unknown,0000000000,Active
DOC-00464,HOSP-00006,Stephen Cooper,Radiology,Unknown,0000012345,active
DOC-00465,HOSP-00087,Robert Carpenter,Cardiology,Lic-741747,6424674376,Inactive
DOC-00466,HOSP-00010,Destiny Barton,Oncology,Lic-996187,0000012345,Inactive
DOC-00467,HOSP-00095,James Miller,Psychiatry,Unknown,0000000000,Active
DOC-00468,HOSP-00046,Gary Tucker,Psychiatry,Lic-839490,0000012345,On Leave
DOC-00469,HOSP-00049,Charles Young,cardiology,Lic-530197,1867890345,Active
DOC-00470,HOSP-00069,Laura Young,Pediatrics,Lic-Invalid,4349475907,On Leave
DOC-00471,HOSP-00083,Monica Kelley,Pediatric,Unknown,0000012345,active
DOC-00472,HOSP-00062,Angela Johnson,Radiology,Lic-842471,0000012345,Unknown
DOC-00473,HOSP-00023,Eric Guzman,Neurology,Unknown,0000000000,Active
DOC-00474,HOSP-00096,Ryan Hayes,Oncology,Lic-Invalid,0000012345,On Leave
DOC-00475,HOSP-00094,Miss Erica Ellis Phd,Oncology,Lic-936741,0000000000,Unknown
DOC-00476,HOSP-00048,Bruce Hatfield,General Medicine,Lic-Invalid,3177156887,On Leave
DOC-00477,HOSP-00021,Danielle Johnson,Neurology,Lic-Invalid,0000012345,On Leave
DOC-00478,HOSP-00022,Amanda Johnson,Dermatology,Unknown,1470939975,Inactive
DOC-00479,HOSP-00082,Jonathan Beck,Dermatology,Unknown,0000000000,On Leave
DOC-00480,HOSP-00036,Mark Higgins,Pediatric,Lic-262681,0000012345,Active
DOC-00481,HOSP-00018,Lisa Holland,Pediatrics,Lic-Invalid,0000012345,On Leave
DOC-00482,HOSP-00047,Patricia Ball,General Medicine,Unknown,0000000000,Active
DOC-00483,HOSP-00081,Jon Burnett,Cardiology,Lic-262859,0000012345,Unknown
DOC-00484,HOSP-00070,Elizabeth Brown,General Medicine,Lic-Invalid,8206669457,active
DOC-00485,HOSP-00075,Allison Nunez,Pediatric,Unknown,0000000000,Active
DOC-00486,HOSP-00092,Caitlyn Garcia,Radiology,Unknown,0000000000,Active
DOC-00487,HOSP-00006,Stacey Hall,General medicine,Lic-Invalid,0000012345,active
DOC-00488,HOSP-00078,Jessica Holmes,cardiology,Lic-318324,5517614513,Active
DOC-00489,HOSP-00079,Phillip Clark,Pediatric,Lic-Invalid,7960786481,On Leave
DOC-00490,HOSP-00034,Robert Tran,Radiology,Lic-Invalid,0000000000,Inactive
DOC-00491,HOSP-00013,Chris Lopez,Oncology,Lic-408866,6817644274,Active
DOC-00492,HOSP-00065,Anna Barrett,Radiology,Unknown,1626044707,On Leave
DOC-00493,HOSP-00099,John Anderson,cardiology,Lic-355006,0000000000,On Leave
DOC-00494,HOSP-00027,Mark Palmer,Oncology,Unknown,1816278349,On Leave
DOC-00495,HOSP-00089,Carla Todd,General medicine,Lic-292402,3891241722,active
DOC-00496,HOSP-00091,Amanda Long,Cardiology,Lic-956664,0000012345,active
DOC-00497,HOSP-00093,Natalie Pennington,Pediatric,Lic-120948,1479752668,active
DOC-00498,HOSP-00015,Lorraine Green,General medicine,Lic-Invalid,0000000000,On Leave
DOC-00499,HOSP-00094,Brian Allen,Pediatrics,Unknown,0000000000,active
DOC-00500,HOSP-00020,George Huber,Cardiology,Lic-569583,0000012345,active
