Doctor_ID,Hospital_ID,Doctor_Name,Doctor_Specialty,Medical_License_Number,NPI_Number,Doctor_Phone,Doctor_Email,Employment_Status
DOC-00274,HOSP-00049,Elijah Perez,Pediatric,LIC-234848,12345,270-567-4287x47640,doctor@,Active
DOC-00275,HOSP-00094,Ryan Singh,Cardiology,LIC-679077,12345,560-682-0048x00406,lwalters@example.com,Active
DOC-00276,HOSP-00040,Jeremy Oliver,Dermatology,,3870432814,N/A,,On Leave
DOC-00277,HOSP-00068,Michele Gutierrez,Neurology,,,N/A,corey90@example.org,Active
DOC-00278,HOSP-00093,Rebecca Wheeler,General medicine,LIC-266757,,N/A,,On Leave
DOC-00279,HOSP-00056,Mary Smith,Cardiology,LIC-548222,5464951869,408-668-4231x19518,doctor@,Inactive
DOC-00280,HOSP-00042,Stephen Taylor,Pediatrics,LIC-INVALID,,,doctor@,
DOC-00281,HOSP-00018,Candace Watson,Oncology,,12345,,,active
DOC-00282,HOSP-00076,Jesse Rogers,Neurology,,,N/A,jenniferkemp@example.net,Active
DOC-00283,HOSP-00080,Erin Jones,Radiology,LIC-973861,2759873075,,,Inactive
DOC-00284,HOSP-00098,Denise Hoffman,ENT,LIC-276053,6382216333,723.569.9899x2512,doctor@,On Leave
DOC-00285,HOSP-00033,Charlene Fowler,Pediatric,LIC-INVALID,4072684599,N/A,,Active
DOC-00286,HOSP-00022,Rachel Murphy,Pediatrics,LIC-INVALID,6832760959,+1-671-331-9466x419,doctor@,Active
DOC-00287,HOSP-00010,Craig West,ENT,LIC-658855,,7676722278,doctor@,Inactive
DOC-00288,HOSP-00011,Elijah Terry,Cardiology,,12345,,,
DOC-00289,HOSP-00034,Mark Barber,Orthopedics,LIC-INVALID,1575954643,,kyle41@example.net,
DOC-00290,HOSP-00086,Molly Garza,Pediatric,LIC-395977,12345,+1-793-896-4009x79557,breed@example.com,On Leave
DOC-00291,HOSP-00005,Nicole Dean,ENT,LIC-INVALID,3711969860,N/A,,active
DOC-00292,HOSP-00012,Matthew Vasquez,Cardiology,LIC-885343,12345,,,On Leave
DOC-00293,HOSP-00077,Brandon Garcia,Psychiatry,LIC-414870,12345,,clarkkatherine@example.org,active
DOC-00294,HOSP-00023,Jennifer Gilbert MD,Oncology,LIC-188757,12345,N/A,mauriceclark@example.net,
DOC-00295,HOSP-00023,Michael Morales,General medicine,LIC-948609,6650581822,,,Inactive
DOC-00296,HOSP-00072,Elizabeth Haynes,Oncology,LIC-INVALID,7761756368,,egonzales@example.com,Inactive
DOC-00297,HOSP-00073,Michael Rivas,Pediatric,LIC-235492,,,tonya13@example.net,Inactive
DOC-00298,HOSP-00041,Justin Newman,Radiology,LIC-INVALID,1568793392,,,active
DOC-00299,HOSP-00044,Nathaniel Strickland,Pediatrics,,12345,001-563-258-4923x44078,krauseandrew@example.com,
DOC-00300,HOSP-00012,Ashley Hardy,Pediatric,,,,doctor@,Inactive
DOC-00301,HOSP-00013,Ronald Freeman,cardiology,LIC-471822,,(962)584-5611x533,samuel19@example.org,Active
DOC-00302,HOSP-00013,Ryan Elliott,ENT,LIC-472345,6040770096,,,active
DOC-00303,HOSP-00090,Thomas Haas Jr.,Pediatric,LIC-INVALID,,,leetimothy@example.net,Active
DOC-00304,HOSP-00069,Jeffrey Hill,ENT,LIC-413568,,,,active
DOC-00305,HOSP-00043,Karen Lynch,Pediatrics,LIC-INVALID,,001-827-962-5856x18267,doctor@,Inactive
DOC-00306,HOSP-00073,Janice Cruz,Orthopedics,LIC-INVALID,9248755051,,debraturner@example.net,Active
DOC-00307,HOSP-00100,Daniel Petersen,ENT,,12345,,millerchristina@example.com,Inactive
DOC-00308,HOSP-00006,Jessica Smith,Psychiatry,LIC-INVALID,6895223464,(585)400-7532,amy68@example.org,On Leave
DOC-00309,HOSP-00096,Thomas Wiley,Psychiatry,,9871271906,001-802-924-9881x224,,On Leave
DOC-00310,HOSP-00051,Phillip Taylor,Orthopedics,LIC-INVALID,,N/A,julie11@example.org,Inactive
DOC-00311,HOSP-00080,Elizabeth Adams,Neurology,,12345,N/A,,On Leave
DOC-00312,HOSP-00034,Jason Nelson,Pediatric,LIC-249413,12345,N/A,doctor@,Active
DOC-00313,HOSP-00033,Derek Mayo,Cardiology,LIC-312292,12345,,farrellkevin@example.com,Inactive
DOC-00314,HOSP-00035,Elizabeth Bradford,Radiology,LIC-314438,12345,(586)730-3161x1890,doctor@,active
DOC-00315,HOSP-00046,Veronica Rodriguez,General Medicine,LIC-INVALID,2410658876,916-582-5257,kgarcia@example.org,On Leave
DOC-00316,HOSP-00048,Amanda Cook,Neurology,,,,doctor@,active
DOC-00317,HOSP-00027,Ryan Reyes,Neurology,LIC-INVALID,6033571413,,nelsonchris@example.net,
DOC-00318,HOSP-00092,James Fields,Pediatrics,LIC-426601,12345,(379)783-1614x90054,,active
DOC-00319,HOSP-00054,David Montgomery,Neurology,LIC-INVALID,,N/A,rodgersmonique@example.net,active
DOC-00320,HOSP-00088,Katherine Farley,General Medicine,LIC-INVALID,12345,001-967-490-2845x10130,doctor@,
DOC-00321,HOSP-00060,Courtney Petty,Oncology,LIC-596390,12345,001-352-893-3128,yolandawells@example.net,Inactive
DOC-00322,HOSP-00040,Miguel Davis,Pediatric,LIC-750377,7532258120,N/A,doctor@,active
DOC-00323,HOSP-00079,Mackenzie Jimenez,Pediatrics,,12345,,alexandra15@example.net,Inactive
DOC-00324,HOSP-00068,Peter Webb,Orthopedics,LIC-INVALID,8047306167,,,
DOC-00325,HOSP-00055,April Wilkerson,Dermatology,,9291845012,5128402848,amanda59@example.com,
DOC-00326,HOSP-00028,Stephen Haynes,Oncology,,12345,,doctor@,Active
DOC-00327,HOSP-00051,Douglas Lewis,Oncology,,,(652)541-4219x609,doctor@,Active
DOC-00328,HOSP-00017,Miss Eileen Mccall,Radiology,LIC-990314,12345,N/A,doctor@,
DOC-00329,HOSP-00018,Michael Taylor,General Medicine,LIC-INVALID,,N/A,sullivanashley@example.net,On Leave
DOC-00330,HOSP-00025,Andrew Mendez,Pediatrics,,12345,N/A,doctor@,Active
DOC-00331,HOSP-00042,Kathy Jefferson,General Medicine,,12345,N/A,millerchristopher@example.com,On Leave
DOC-00332,HOSP-00099,Katelyn Jones,Psychiatry,,12345,,franciscovega@example.net,active
DOC-00333,HOSP-00045,Katrina Berry,General Medicine,LIC-INVALID,,421.445.0865x20779,,
DOC-00334,HOSP-00099,Holly Vazquez,General Medicine,LIC-590738,,N/A,,
DOC-00335,HOSP-00033,Austin Terry,Pediatrics,LIC-INVALID,12345,N/A,doctor@,On Leave
DOC-00336,HOSP-00029,Caitlyn Thompson,General medicine,LIC-407279,12345,N/A,doctor@,Inactive
DOC-00337,HOSP-00052,Jeffrey Simpson,Pediatrics,LIC-881684,,+1-568-331-6604x13155,,
DOC-00338,HOSP-00018,Sharon Prince,Pediatrics,LIC-350514,,939-711-3187x8380,cmccarthy@example.net,Active
DOC-00339,HOSP-00014,Russell Lynch DVM,General Medicine,,,+1-730-823-7323x24639,doctor@,
DOC-00340,HOSP-00009,Rebecca Smith,Psychiatry,,,999.383.5340x027,,
DOC-00341,HOSP-00022,David Griffin,Pediatric,LIC-591663,12345,814.618.1019x9481,,Active
DOC-00342,HOSP-00088,Samuel Scott,Dermatology,LIC-INVALID,12345,,,Inactive
DOC-00343,HOSP-00094,Mr. Juan Richardson,ENT,,12345,N/A,,On Leave
DOC-00344,HOSP-00018,Jeffery Gonzalez III,Cardiology,LIC-INVALID,12345,,doctor@,
DOC-00345,HOSP-00094,Brianna Acosta,General Medicine,,2958304559,+1-286-614-5862x4534,lisacoffey@example.org,Active
DOC-00346,HOSP-00064,Jeremy Melendez,Psychiatry,LIC-379505,,322.795.0459,,active
DOC-00347,HOSP-00044,Leon Jensen,Oncology,LIC-INVALID,,,doctor@,Active
DOC-00348,HOSP-00090,Lori Edwards,Dermatology,LIC-336534,6287784525,,twashington@example.org,Active
DOC-00349,HOSP-00008,John Hinton,Pediatrics,LIC-INVALID,,N/A,,On Leave
DOC-00350,HOSP-00062,Jody Rogers,Psychiatry,,1534711377,N/A,sarahwashington@example.net,Active
DOC-00351,HOSP-00066,Zachary Wilson,Dermatology,LIC-536123,1027267402,001-336-457-6071,doctor@,Inactive
DOC-00352,HOSP-00024,Crystal Jones,Pediatric,LIC-336012,,N/A,doctor@,
DOC-00353,HOSP-00088,Allen Lopez,Oncology,LIC-881614,,N/A,yesenia35@example.org,active
DOC-00354,HOSP-00048,Sandra Richards,cardiology,,12345,686.807.4973x4405,doctor@,
DOC-00355,HOSP-00019,Erica Anderson,Pediatrics,,,N/A,katelyn64@example.com,Inactive
DOC-00356,HOSP-00025,Sherry Garcia,Dermatology,LIC-563308,,N/A,,Inactive
DOC-00357,HOSP-00008,Lori Glover,General Medicine,LIC-742794,,,matthewsronald@example.com,Inactive
DOC-00358,HOSP-00091,Meagan Elliott,Orthopedics,,,+1-792-521-1522x914,doctor@,
DOC-00359,HOSP-00099,Katelyn Mills,Dermatology,,,,,On Leave
DOC-00360,HOSP-00049,Eric Martin,Psychiatry,,1724071682,001-759-490-8375x768,doctor@,active
DOC-00361,HOSP-00075,Travis Maldonado,Neurology,LIC-440071,3181997167,(528)637-1530x8875,linda55@example.net,Inactive
DOC-00362,HOSP-00009,Leslie Ewing,cardiology,,3292191282,001-509-500-2538x26786,aaronjackson@example.com,On Leave
DOC-00363,HOSP-00031,Alexandra Lopez,Neurology,LIC-821714,12345,N/A,abigailnunez@example.net,active
DOC-00364,HOSP-00055,Megan Smith,Orthopedics,,12345,,shawndean@example.com,active
DOC-00365,HOSP-00034,Nicholas Rosales,Oncology,LIC-282731,,001-255-520-5553x25064,doctor@,Inactive
DOC-00366,HOSP-00043,Ashley Buchanan,Oncology,LIC-INVALID,8382552426,N/A,doctor@,Inactive
DOC-00367,HOSP-00018,Amy Rodriguez,Cardiology,LIC-INVALID,2693143472,,garcialori@example.com,Active
DOC-00368,HOSP-00013,Jodi Rodriguez,Dermatology,LIC-INVALID,,,doctor@,active
DOC-00369,HOSP-00022,Christopher Schmidt,Orthopedics,LIC-INVALID,7363454664,(259)291-0160,wadepaul@example.net,Active
DOC-00370,HOSP-00018,Benjamin Lewis,cardiology,,12345,,susansims@example.org,Inactive
DOC-00371,HOSP-00032,Christine Cisneros,General Medicine,LIC-INVALID,,371.384.5982,,
DOC-00372,HOSP-00048,Danielle Garrett,General Medicine,,,(754)513-6576,,On Leave
DOC-00373,HOSP-00062,Robert Carroll,General Medicine,LIC-247498,12345,N/A,doctor@,
DOC-00374,HOSP-00004,Cassidy Hart,cardiology,LIC-INVALID,6648667800,(619)520-9441x3045,mfrost@example.net,Inactive
DOC-00375,HOSP-00027,Thomas Stone,Psychiatry,LIC-INVALID,,484-671-7682x1455,doctor@,On Leave
DOC-00376,HOSP-00050,John Cruz,Dermatology,,3222150434,+1-560-760-1802,doctor@,Inactive
DOC-00377,HOSP-00082,Elizabeth Hernandez,Oncology,LIC-319371,12345,N/A,,
DOC-00378,HOSP-00098,Gregory Rodriguez,Oncology,,7350759196,(312)267-1008,doctor@,On Leave
DOC-00379,HOSP-00071,Carol Hall,Oncology,LIC-267418,12345,468.308.9839x220,sbarber@example.com,Active
DOC-00380,HOSP-00036,Anthony Hardy,Pediatric,LIC-855412,12345,N/A,,Inactive
DOC-00381,HOSP-00072,Donald White,ENT,LIC-126462,7640730152,596.980.7649,doctor@,On Leave
DOC-00382,HOSP-00093,Barry Nelson,Radiology,LIC-410167,,N/A,,Inactive
DOC-00383,HOSP-00020,Kimberly Williams,Pediatric,,12345,(931)265-2329x18394,,
DOC-00384,HOSP-00020,Albert Suarez,General medicine,LIC-INVALID,,(718)334-4103,,
DOC-00385,HOSP-00087,Jeffrey Sanchez,Orthopedics,LIC-794280,,,ifrey@example.net,On Leave
DOC-00386,HOSP-00008,Kevin Johnson,ENT,LIC-INVALID,12345,3167014728,zrasmussen@example.net,active
DOC-00387,HOSP-00099,Heidi Garcia,Orthopedics,LIC-589773,,N/A,,
DOC-00388,HOSP-00001,Daniel Gallagher,Dermatology,LIC-INVALID,8165441014,N/A,stevenking@example.net,
DOC-00389,HOSP-00013,Daisy Mercado,Radiology,LIC-344697,12345,N/A,doctor@,Active
DOC-00390,HOSP-00030,Teresa Miller,General medicine,LIC-INVALID,9253906216,N/A,doctor@,active
DOC-00391,HOSP-00015,Morgan Wright,General Medicine,LIC-869978,12345,N/A,doctor@,On Leave
DOC-00392,HOSP-00034,Bryan Baker,Psychiatry,LIC-888376,7628098398,N/A,stewartbrian@example.org,
DOC-00393,HOSP-00094,Jeffrey Horton,ENT,,8835768649,,,Inactive
DOC-00394,HOSP-00051,Robert Castillo,Oncology,LIC-INVALID,,N/A,doctor@,
DOC-00395,HOSP-00042,Vanessa Bates,General medicine,LIC-INVALID,12345,,doctor@,Inactive
DOC-00396,HOSP-00099,Holly Strong,Oncology,LIC-416762,2217530333,N/A,,Active
DOC-00397,HOSP-00032,Jonathan Green,Cardiology,,12345,,vmeza@example.net,Active
DOC-00398,HOSP-00059,Nathan Wheeler,Neurology,LIC-INVALID,,(666)826-6097,francisco08@example.org,On Leave
DOC-00399,HOSP-00046,Deborah Reyes,General Medicine,LIC-332884,12345,001-784-497-8040x8383,sandra46@example.net,
DOC-00400,HOSP-00075,Mrs. Donna Patton,Orthopedics,LIC-INVALID,,943-300-4523x16462,,
DOC-00401,HOSP-00017,Diana Mccarthy,Orthopedics,LIC-447283,,N/A,wferguson@example.net,On Leave
DOC-00402,HOSP-00013,Theresa Davis,General medicine,,8741902099,,doctor@,active
DOC-00403,HOSP-00063,Oscar Patel,Orthopedics,LIC-469218,12345,N/A,carrolljose@example.net,On Leave
DOC-00404,HOSP-00088,Christian Jordan,General medicine,,12345,N/A,arthurlogan@example.net,
DOC-00405,HOSP-00044,Samuel Mitchell PhD,Neurology,,12345,,eduardosweeney@example.org,active
DOC-00406,HOSP-00059,Penny Farrell,Neurology,LIC-INVALID,,+1-826-383-9300x66711,,Inactive
DOC-00407,HOSP-00049,Lisa Adams,Dermatology,,12345,675.801.3814,,active
DOC-00408,HOSP-00044,Kristin Donaldson,Oncology,,1702696253,N/A,james85@example.com,Active
DOC-00409,HOSP-00042,Susan English,Cardiology,LIC-202443,12345,4318484860,asmall@example.net,Active
DOC-00410,HOSP-00083,Yvonne Ortiz,Orthopedics,LIC-INVALID,12345,,,
DOC-00411,HOSP-00037,Laura Mooney,Psychiatry,LIC-INVALID,12345,363.358.6654,ronaldjohnson@example.net,
DOC-00412,HOSP-00089,Lynn Roberts,Neurology,,12345,N/A,doctor@,
DOC-00413,HOSP-00018,Dominique Harmon,Psychiatry,LIC-INVALID,12345,,,active
DOC-00414,HOSP-00018,Mr. Kevin Evans,Cardiology,,4350434226,903.821.2074x5896,,On Leave
DOC-00415,HOSP-00055,Ashley Evans,Pediatrics,,12345,N/A,,On Leave
DOC-00416,HOSP-00039,Michelle Ingram,Dermatology,,,,,Inactive
DOC-00417,HOSP-00089,Kyle Ramos,Dermatology,,12345,,,Active
DOC-00418,HOSP-00083,Natalie Thompson,Pediatrics,,12345,N/A,,Active
DOC-00419,HOSP-00013,Alisha Aguirre,Orthopedics,LIC-INVALID,,(708)349-8905x34366,todd87@example.com,Active
DOC-00420,HOSP-00077,Catherine Brock,Cardiology,LIC-INVALID,7014263872,,doctor@,
DOC-00421,HOSP-00007,Troy Moreno,Pediatric,LIC-278827,12345,,,On Leave
DOC-00422,HOSP-00043,Edward Howard,Pediatric,LIC-994062,,367-885-9630x040,,On Leave
DOC-00423,HOSP-00032,Victoria Kelley,Orthopedics,LIC-900709,9319351470,434-340-9752,doctor@,On Leave
DOC-00424,HOSP-00012,Derrick Orr,General medicine,,12345,001-299-897-4174,shannonmccarthy@example.com,
DOC-00425,HOSP-00049,Michael Young,cardiology,LIC-INVALID,5184691867,N/A,,Active
DOC-00426,HOSP-00054,Karen Brown,Neurology,,,562.870.5577x585,doctor@,
DOC-00427,HOSP-00092,Jeffrey English,General medicine,LIC-170674,5771382240,N/A,,
DOC-00428,HOSP-00045,Micheal Daniels,Pediatrics,,,N/A,cscott@example.com,
DOC-00429,HOSP-00049,Andrea Villanueva,Orthopedics,LIC-484115,12345,,,Inactive
DOC-00430,HOSP-00009,Dr. Heather Boyd,Radiology,LIC-INVALID,12345,,doctor@,Inactive
DOC-00431,HOSP-00082,Logan Hall,Orthopedics,LIC-878505,,001-520-316-1421x923,doctor@,
DOC-00432,HOSP-00055,Jonathan Robinson,Cardiology,LIC-695589,12345,N/A,doctor@,Inactive
DOC-00433,HOSP-00038,Paul Weber,Psychiatry,LIC-INVALID,,N/A,,Active
DOC-00434,HOSP-00017,Christopher Callahan,Psychiatry,LIC-338156,4836507484,N/A,,active
DOC-00435,HOSP-00069,Michelle Cohen,Neurology,LIC-INVALID,8647299694,N/A,doctor@,Inactive
DOC-00436,HOSP-00081,Edward Watson,Oncology,,,,,
DOC-00437,HOSP-00026,Elizabeth Anderson,Radiology,LIC-820214,9520203355,+1-658-686-1764x29048,,On Leave
DOC-00438,HOSP-00047,James Mcfarland,Neurology,LIC-376102,12345,,,active
DOC-00439,HOSP-00066,Melissa Lewis,ENT,,3467379670,,doctor@,Inactive
DOC-00440,HOSP-00097,Amy Sheppard,Neurology,LIC-INVALID,12345,N/A,,Inactive
DOC-00441,HOSP-00074,Richard Morris DDS,Pediatrics,LIC-INVALID,,459.342.2461,,Inactive
DOC-00442,HOSP-00054,Claudia Mitchell,Orthopedics,LIC-740975,5945017771,,courtneydelgado@example.net,
DOC-00443,HOSP-00027,Sarah Vega,ENT,LIC-INVALID,,+1-434-293-5623x821,fergusondanielle@example.net,Inactive
DOC-00444,HOSP-00042,Todd Richardson,Psychiatry,LIC-695151,,N/A,,On Leave
DOC-00445,HOSP-00085,David Valdez,Cardiology,LIC-498145,12345,543-506-4303x949,karentrevino@example.org,Inactive
DOC-00446,HOSP-00091,Matthew Guzman,Cardiology,LIC-816171,3198549173,(410)341-9473,,Inactive
DOC-00447,HOSP-00030,Lydia Daniels,Orthopedics,LIC-692613,,N/A,,Inactive
DOC-00448,HOSP-00005,Kyle Bass,General Medicine,LIC-887198,,N/A,doctor@,active
DOC-00449,HOSP-00047,Samantha Kennedy,Radiology,LIC-609479,12345,,vlawrence@example.org,Active
DOC-00450,HOSP-00089,Rhonda Mccarthy,Pediatrics,LIC-INVALID,12345,N/A,,On Leave
DOC-00451,HOSP-00030,Bonnie Gilbert,Neurology,LIC-715165,,N/A,doctor@,Inactive
DOC-00452,HOSP-00084,Zachary Velez,Cardiology,,12345,N/A,,Inactive
DOC-00453,HOSP-00057,Miguel Golden,General Medicine,,8410432599,515.802.7653x72295,,Inactive
DOC-00454,HOSP-00090,Andrew Rogers,ENT,LIC-INVALID,8229013588,N/A,doctor@,On Leave
DOC-00455,HOSP-00006,Rachel Hamilton,Psychiatry,,,N/A,doctor@,Inactive
DOC-00456,HOSP-00074,April Gonzalez,Pediatrics,LIC-INVALID,4440972091,(620)503-8576,,active
DOC-00457,HOSP-00050,William Bailey,Oncology,LIC-934479,1288667539,N/A,doctor@,active
DOC-00458,HOSP-00046,Stephen Daniels,Orthopedics,,2088272883,N/A,susan43@example.org,Active
DOC-00459,HOSP-00068,Scott Williams,General medicine,LIC-INVALID,2027654480,4586682514,,Active
DOC-00460,HOSP-00077,Brian Smith,Cardiology,LIC-882755,3101553346,,virginia98@example.org,
DOC-00461,HOSP-00035,Jason Coffey,Pediatric,,,N/A,,
DOC-00462,HOSP-00067,Benjamin Goodwin,General Medicine,LIC-INVALID,12345,(259)213-4666x120,,On Leave
DOC-00463,HOSP-00046,Sean Collins,General medicine,,,N/A,doctor@,Active
DOC-00464,HOSP-00006,Stephen Cooper,Radiology,,12345,+1-940-562-4915x065,doctor@,active
DOC-00465,HOSP-00087,Robert Carpenter,Cardiology,LIC-741747,6424674376,N/A,,Inactive
DOC-00466,HOSP-00010,Destiny Barton,Oncology,LIC-996187,12345,241-220-3409x0317,,Inactive
DOC-00467,HOSP-00095,James Miller,Psychiatry,,,,doctor@,Active
DOC-00468,HOSP-00046,Gary Tucker,Psychiatry,LIC-839490,12345,,doctor@,On Leave
DOC-00469,HOSP-00049,Charles Young,cardiology,LIC-530197,1867890345,,,Active
DOC-00470,HOSP-00069,Laura Young,Pediatrics,LIC-INVALID,4349475907,N/A,,On Leave
DOC-00471,HOSP-00083,Monica Kelley,Pediatric,,12345,001-665-349-7532x882,,active
DOC-00472,HOSP-00062,Angela Johnson,Radiology,LIC-842471,12345,001-827-392-0643,vhernandez@example.com,
DOC-00473,HOSP-00023,Eric Guzman,Neurology,,,N/A,,Active
DOC-00474,HOSP-00096,Ryan Hayes,Oncology,LIC-INVALID,12345,N/A,,On Leave
DOC-00475,HOSP-00094,Miss Erica Ellis PhD,Oncology,LIC-936741,,N/A,,
DOC-00476,HOSP-00048,Bruce Hatfield,General Medicine,LIC-INVALID,3177156887,5632870007,doctor@,On Leave
DOC-00477,HOSP-00021,Danielle Johnson,Neurology,LIC-INVALID,12345,N/A,,On Leave
DOC-00478,HOSP-00022,Amanda Johnson,Dermatology,,1470939975,N/A,,Inactive
DOC-00479,HOSP-00082,Jonathan Beck,Dermatology,,,N/A,slopez@example.net,On Leave
DOC-00480,HOSP-00036,Mark Higgins,Pediatric,LIC-262681,12345,744.814.6228x87404,justinchambers@example.net,Active
DOC-00481,HOSP-00018,Lisa Holland,Pediatrics,LIC-INVALID,12345,N/A,doctor@,On Leave
DOC-00482,HOSP-00047,Patricia Ball,General Medicine,,,369.612.1520x8426,doctor@,Active
DOC-00483,HOSP-00081,Jon Burnett,Cardiology,LIC-262859,12345,952-399-1106x9353,doctor@,
DOC-00484,HOSP-00070,Elizabeth Brown,General Medicine,LIC-INVALID,8206669457,,doctor@,active
DOC-00485,HOSP-00075,Allison Nunez,Pediatric,,,,doctor@,Active
DOC-00486,HOSP-00092,Caitlyn Garcia,Radiology,,,N/A,,Active
DOC-00487,HOSP-00006,Stacey Hall,General medicine,LIC-INVALID,12345,N/A,,active
DOC-00488,HOSP-00078,Jessica Holmes,cardiology,LIC-318324,5517614513,+1-569-701-1825x7362,doctor@,Active
DOC-00489,HOSP-00079,Phillip Clark,Pediatric,LIC-INVALID,7960786481,,doctor@,On Leave
DOC-00490,HOSP-00034,Robert Tran,Radiology,LIC-INVALID,,,doctor@,Inactive
DOC-00491,HOSP-00013,Chris Lopez,Oncology,LIC-408866,6817644274,N/A,duncanjohn@example.com,Active
DOC-00492,HOSP-00065,Anna Barrett,Radiology,,1626044707,N/A,doctor@,On Leave
DOC-00493,HOSP-00099,John Anderson,cardiology,LIC-355006,,,doctor@,On Leave
DOC-00494,HOSP-00027,Mark Palmer,Oncology,,1816278349,,bellpaul@example.com,On Leave
DOC-00495,HOSP-00089,Carla Todd,General medicine,LIC-292402,3891241722,001-837-840-9739x4334,doctor@,active
DOC-00496,HOSP-00091,Amanda Long,Cardiology,LIC-956664,12345,,doctor@,active
DOC-00497,HOSP-00093,Natalie Pennington,Pediatric,LIC-120948,1479752668,,doctor@,active
DOC-00498,HOSP-00015,Lorraine Green,General medicine,LIC-INVALID,,+1-627-351-2956x18896,,On Leave
DOC-00499,HOSP-00094,Brian Allen,Pediatrics,,,,,active
DOC-00500,HOSP-00020,George Huber,Cardiology,LIC-569583,12345,N/A,doctor@,active
